,Référence Chantier,Code postal arrondissement - Commune,Date début du chantier,Date fin du chantier,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,forme_geo
0,EC262569,75008,2022-02-28,2024-04-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,144.42,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,534314,172512,"{""coordinates"": [[[2.3002816159215382, 48.871758147773434], [2.300309750724866, 48.87179633469869], [2.3005787134116167, 48.871712298964724], [2.300644574378768, 48.87163982523727], [2.3005847491532596, 48.87162262737216], [2.3005802597248572, 48.87162282867354], [2.300579850624866, 48.871627608095], [2.300583979882582, 48.871628542359254], [2.3005811612698728, 48.87163285173402], [2.3005735375305685, 48.87163508432558], [2.3005666477534694, 48.871634133031016], [2.3005313345497145, 48.87166785173182], [2.3005371132129113, 48.871674488483315], [2.300534297649081, 48.87167857034066], [2.3005297868168566, 48.87168036515254], [2.300527404811675, 48.871677846560075], [2.3005204739114586, 48.87167985566286], [2.3005225018541635, 48.871683054788505], [2.300498237105654, 48.87169088207671], [2.3004968836797794, 48.87168882456259], [2.3002816159215382, 48.871758147773434]]], ""type"": ""Polygon""}","48.87171473163943, 2.300472796020154",autre
1,EC267934,75015,2022-06-06,2023-09-30,Opérateurs de réseau (gaz-électricité-RATP-etc),CPCU,94.88,Travaux sur réseau de chauffage urbain,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,577778,178217,"{""coordinates"": [[[2.292899247699561, 48.85604582207202], [2.292832881688236, 48.856054537672755], [2.292836175279878, 48.85611694286094], [2.2929415684261523, 48.85618177258164], [2.2929562075829053, 48.856170930091885], [2.2929627145365266, 48.85614911055964], [2.292966517374651, 48.85612317757684], [2.292948996046334, 48.85609210827453], [2.29292384195067, 48.85606418208854], [2.292899247699561, 48.85604582207202]]], ""type"": ""Polygon""}","48.85610765531542, 2.2929003924589715",décagone
2,EC268310,75006,2022-04-01,2023-05-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,164.77,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR","STATIONNEMENT_PAYANT,ZONE_LIVRAISON",569382,176946,"{""coordinates"": [[[2.32580213112853, 48.847082054127924], [2.3258313289428196, 48.84709178067241], [2.3258854405654565, 48.84709572889402], [2.3260446291161707, 48.84691379366707], [2.3259970257770695, 48.84683936324406], [2.3259799862696706, 48.84683666719345], [2.325992761435985, 48.84686447907339], [2.32580213112853, 48.847082054127924]]], ""type"": ""Polygon""}","48.846983726393866, 2.3259329706698515",octogone
3,EC268626,,2022-02-14,2023-06-16,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,0.96,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,579401,178537,"{""coordinates"": [[[2.384292595886623, 48.82593388960969], [2.3843042619107133, 48.8259373987675], [2.3843119372095196, 48.82592992492162], [2.3842995833288367, 48.82592618378234], [2.384292595886623, 48.82593388960969]]], ""type"": ""Polygon""}","48.825931811335515, 2.384302128015279",pentagone
4,EC286541,75005,2022-12-19,2023-05-12,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,7.18,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,655170,189925,"{""coordinates"": [[[2.344365865727618, 48.84455770410638], [2.3444995891722855, 48.844530924516114], [2.3444962146022417, 48.84452502420067], [2.3443624898084323, 48.84455180377987], [2.344365865727618, 48.84455770410638]]], ""type"": ""Polygon""}","48.84454136424176, 2.3444310393485357",pentagone
5,EC270029,75015,2022-07-11,2023-05-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,52.98,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,573372,177549,"{""coordinates"": [[[2.285848979153801, 48.84960028809588], [2.2859030374935685, 48.84958285192623], [2.2859405912870394, 48.849511126989526], [2.2859157155699066, 48.849513710789964], [2.2859070087131244, 48.84949453296119], [2.28592991927896, 48.84948419571361], [2.2858427857513375, 48.84939761015703], [2.2858005868819045, 48.84940555506267], [2.2859027317308533, 48.84950452544326], [2.285892738119143, 48.849579147133035], [2.285848979153801, 48.84960028809588]]], ""type"": ""Polygon""}","48.84947676916043, 2.285880174879612",hendécagone
6,EC270059,75017,2022-04-15,2023-08-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,477.67,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",STATIONNEMENT_PAYANT,586631,179508,"{""coordinates"": [[[2.3176279610754227, 48.894095555727844], [2.3177191456696313, 48.894070170257685], [2.3173523151781454, 48.89358237000057], [2.3172415123694674, 48.89360602366398], [2.3176279610754227, 48.894095555727844]]], ""type"": ""Polygon""}","48.893832342701046, 2.317480352920456",pentagone
7,EC271175,75016,2022-03-28,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,24.93,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,591413,180154,"{""coordinates"": [[[2.2856028426592063, 48.86896338676491], [2.2856247603691506, 48.86887517735538], [2.285591692810022, 48.86887042568982], [2.2855690790374905, 48.86895908690853], [2.2856028426592063, 48.86896338676491]]], ""type"": ""Polygon""}","48.86891714111743, 2.2855970458232235",pentagone
8,EC271252,75020,2022-10-17,2023-06-02,Opérateurs de réseau (gaz-électricité-RATP-etc),GRDF,49.45,Travaux sur réseau de gaz,EMPRISE_TROTTOIR,,591906,180209,"{""coordinates"": [[[2.400828314366371, 48.87108607948282], [2.400854568249892, 48.87109490387228], [2.4009839402421607, 48.87091128031473], [2.400955758222146, 48.87090332944927], [2.400828314366371, 48.87108607948282]]], ""type"": ""Polygon""}","48.87099829598522, 2.400906085631557",pentagone
9,EC272209,75011,2022-05-16,2026-01-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,193.49,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,594160,180609,"{""coordinates"": [[[2.386189288053019, 48.858761846176996], [2.3862126687031298, 48.85872597695901], [2.3862413613288385, 48.858707770263045], [2.3862765026243022, 48.85870445383476], [2.386493059087902, 48.858761938892236], [2.386528148958238, 48.85870661832504], [2.386366971715866, 48.858664080259224], [2.386315364509198, 48.85865129311558], [2.386295124907654, 48.85864117060078], [2.386282551724841, 48.858624713732176], [2.38624128369553, 48.85861288971893], [2.386150396117552, 48.85875345003937], [2.386189288053019, 48.858761846176996]]], ""type"": ""Polygon""}","48.858696213029525, 2.386333279410536",autre
10,EC274486,75015,2022-06-30,2023-12-20,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,20.34,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,570594,177154,"{""coordinates"": [[[2.281086318185812, 48.84278705690484], [2.281001180253501, 48.84268965706697], [2.2809918044298283, 48.84270950376029], [2.281064596314326, 48.84279443699691], [2.281086318185812, 48.84278705690484]]], ""type"": ""Polygon""}","48.84274542910289, 2.2810365355095246",pentagone
11,EC277341,75018,2022-06-13,2023-03-31,Opérateurs de réseau (gaz-électricité-RATP-etc),GRDF,193.72,Travaux sur réseau de gaz,EMPRISE_TROTTOIR,,615783,184065,"{""coordinates"": [[[2.355977810669476, 48.88865464050717], [2.3560220063146486, 48.88865442314919], [2.3560884991135524, 48.88835880125233], [2.356065288168538, 48.8883372742944], [2.356126901085415, 48.88804526921709], [2.3561188632095433, 48.88802518992805], [2.3560866854841906, 48.88805871280645], [2.3560976043780495, 48.888069245065594], [2.356033834009513, 48.88836806979169], [2.3559839037205332, 48.88860868271169], [2.355958187625518, 48.88862220513759], [2.355977810669476, 48.88865464050717]]], ""type"": ""Polygon""}","48.88839826449775, 2.3560479449520817",dodécagone
12,EC279099,75011,2022-05-16,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,11.69,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,623572,185191,"{""coordinates"": [[[2.382683924257412, 48.861326297319614], [2.382659273356703, 48.86136806432607], [2.382690927905184, 48.861375968271425], [2.3827121317682516, 48.86133372930971], [2.382683924257412, 48.861326297319614]]], ""type"": ""Polygon""}","48.86135138940459, 2.382686335432889",pentagone
13,EC279106,75010,2022-05-15,2023-05-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,500.66,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,584726,179339,"{""coordinates"": [[[2.3615319468819957, 48.877322325772354], [2.36156706338956, 48.8773684627], [2.3624005588981767, 48.87701539285744], [2.3623384373058487, 48.87695454311222], [2.3615319468819957, 48.877322325772354]]], ""type"": ""Polygon""}","48.87715456896232, 2.3619838135529987",pentagone
14,EC281536,75015,2022-06-07,2024-04-05,Opérateurs de réseau (gaz-électricité-RATP-etc),SPL PARISEINE,14.53,,EMPRISE_TROTTOIR,,603894,182940,"{""coordinates"": [[[2.292852001953231, 48.85615577980685], [2.2937491756469193, 48.855612491048305], [2.293742680518199, 48.85561245271259], [2.292852001953231, 48.85615577980685]]], ""type"": ""Polygon""}","48.85579357452258, 2.2934479527061162",quadrilatère
15,EC281605,75008,2022-07-04,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,14.15,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,633752,186881,"{""coordinates"": [[[2.2984472154848237, 48.87168969314131], [2.298535107801146, 48.871749860845], [2.298528592040872, 48.87177236292116], [2.29854478243386, 48.87177473494061], [2.298552404758906, 48.87174700246773], [2.2984573224114953, 48.87168246679106], [2.2984472154848237, 48.87168969314131]]], ""type"": ""Polygon""}","48.871727949273534, 2.2985085495175683",heptagone
16,EC282397,75008,2022-10-17,2023-06-30,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,13.95,Travaux sur réseau électrique,EMPRISE_CHAUSSEE,,638636,187473,"{""coordinates"": [[[2.3078773560871144, 48.86493371048638], [2.3079739638703543, 48.86493517927479], [2.3079748908359523, 48.864917425196175], [2.307873783832019, 48.864916840529965], [2.3078773560871144, 48.86493371048638]]], ""type"": ""Polygon""}","48.86492572677828, 2.3079254368681195",pentagone
17,EC284187,75018,2022-06-20,2024-02-29,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,142.43,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,633357,186616,"{""coordinates"": [[[2.3449313741811224, 48.89007108079472], [2.344948082505614, 48.89012352457952], [2.345207602634837, 48.890102857494234], [2.3452139539627583, 48.89009103103403], [2.345299643560255, 48.89008332022235], [2.345291428753667, 48.89004605586103], [2.3449313741811224, 48.89007108079472]]], ""type"": ""Polygon""}","48.89008353957416, 2.345107689924212",heptagone
18,EC284240,75011,2022-11-02,2023-07-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,40.57,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,646689,188542,"{""coordinates"": [[[2.3769127772437133, 48.86625044158735], [2.377075879445251, 48.86606686900371], [2.3771484556407376, 48.86609428451296], [2.3771519566653962, 48.866090033560006], [2.3770609111671024, 48.86605597651917], [2.3768938655822396, 48.86624465120115], [2.3769127772437133, 48.86625044158735]]], ""type"": ""Polygon""}","48.86614720554641, 2.3769971491133646",heptagone
19,EC284515,75019,2022-06-13,2023-05-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,16.92,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,STATIONNEMENT_PAYANT,619003,184474,"{""coordinates"": [[[2.3799019913913733, 48.891878001691325], [2.380009704313441, 48.89182118551236], [2.3799939737162337, 48.89180835440739], [2.3798973588443944, 48.8918611298432], [2.3799019913913733, 48.891878001691325]]], ""type"": ""Polygon""}","48.89184186093508, 2.379951642547237",pentagone
20,EC284610,75011,2022-07-05,2024-01-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,44.81,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR","STATIONNEMENT_PAYANT,ZONE_LIVRAISON",642054,187919,"{""coordinates"": [[[2.3844362796547016, 48.85677662667569], [2.384245083510619, 48.856707087468884], [2.3842241321710347, 48.85672810894177], [2.3844151539437353, 48.85679776060133], [2.3844362796547016, 48.85677662667569]]], ""type"": ""Polygon""}","48.856752431010705, 2.3843302602417804",pentagone
21,EC284746,75006,2022-07-04,2023-06-01,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,102.73,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,"STATIONNEMENT_PAYANT,ZONE_LIVRAISON",649998,188872,"{""coordinates"": [[[2.3394742063061402, 48.8511212085122], [2.3396175086378266, 48.851176732588094], [2.33965736034705, 48.85113396238452], [2.3395130057013938, 48.851037499217156], [2.339463861341728, 48.85111744785051], [2.3394742063061402, 48.8511212085122]]], ""type"": ""Polygon""}","48.85111271074419, 2.3395571388741807",hexagone
22,EC286281,75008,2022-08-16,2024-03-29,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,91.18,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,626717,185488,"{""coordinates"": [[[2.320804856887809, 48.87467098999223], [2.321115894262345, 48.874629444894055], [2.321064891222632, 48.87458786964988], [2.3209204307222397, 48.874607692760144], [2.320908456470431, 48.874631910594694], [2.3207990056376424, 48.874649100144815], [2.320804856887809, 48.87467098999223]]], ""type"": ""Polygon""}","48.87462890494955, 2.32096833585779",heptagone
23,EC289493,75006,2022-07-19,2023-04-17,Tiers (travaux sur bâtiment),PERSONNE PHYSIQUE,22.26,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,663521,191326,"{""coordinates"": [[[2.332846825552715, 48.854249963278804], [2.332811576307175, 48.8542543201721], [2.332829303127733, 48.85432500128344], [2.332868686710405, 48.8543211225092], [2.332846825552715, 48.854249963278804]]], ""type"": ""Polygon""}","48.85428821213708, 2.332839309236843",pentagone
24,EC287863,75003,2022-07-04,2023-04-28,Opérateurs de réseau (gaz-électricité-RATP-etc),CPCU,98.51,Travaux sur réseau de chauffage urbain,EMPRISE_CHAUSSEE,,659681,190781,"{""coordinates"": [[[2.3557563420691006, 48.86535478177021], [2.3557810155334367, 48.86540601709134], [2.356001379185981, 48.86544666714083], [2.35607917421524, 48.865419258229075], [2.3557563420691006, 48.86535478177021]]], ""type"": ""Polygon""}","48.86540502236938, 2.355903298489872",pentagone
25,EC287899,75018,2022-09-01,2023-08-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,40.97,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,659713,190801,"{""coordinates"": [[[2.32785241171316, 48.89320614566299], [2.3281223468540535, 48.89326594564976], [2.3281314065392937, 48.89324887515813], [2.327860357400242, 48.89318979738985], [2.32785241171316, 48.89320614566299]]], ""type"": ""Polygon""}","48.89322794533517, 2.3279928056915047",pentagone
26,EC288155,75012,2022-09-04,2023-08-31,Opérateurs de réseau (gaz-électricité-RATP-etc),RATP,50.38,Travaux sur réseau de transport public,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,661927,190983,"{""coordinates"": [[[2.398850251605369, 48.832056667184496], [2.398832098996754, 48.83207570187782], [2.3990641492793188, 48.83217021958253], [2.399082992474944, 48.83215118832556], [2.398850251605369, 48.832056667184496]]], ""type"": ""Polygon""}","48.83211352313623, 2.3989575787098367",pentagone
27,EC289552,75004,2023-01-30,2023-04-28,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,12.78,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,AUTRE,666774,191803,"{""coordinates"": [[[2.355423350935002, 48.85848885938046], [2.355504300061296, 48.858461063006764], [2.3554931809041944, 48.85844497401733], [2.3554116595446826, 48.85847440681536], [2.355423350935002, 48.85848885938046]]], ""type"": ""Polygon""}","48.85846712616213, 2.3554586098335375",pentagone
28,EC290298,75007,2022-09-05,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,29.6,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,668981,192210,"{""coordinates"": [[[2.3152988642919867, 48.858060632262685], [2.3152724500902884, 48.85806196145851], [2.315291043704606, 48.85819617314522], [2.3153183221632996, 48.85819473557153], [2.3152988642919867, 48.858060632262685]]], ""type"": ""Polygon""}","48.858128739315156, 2.315295220577362",pentagone
29,EC291713,75009,2022-08-29,2023-04-20,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,47.27,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,672608,192730,"{""coordinates"": [[[2.335938771964106, 48.88133940272624], [2.336117781929435, 48.88127027095279], [2.3361550158383326, 48.88127412061451], [2.3362514464976063, 48.88134614592144], [2.3361700990560856, 48.88139077573603], [2.3361837722312315, 48.88140132427728], [2.336278324802933, 48.88134993813103], [2.3361558624738845, 48.88126183053282], [2.3361068466393773, 48.881261558733634], [2.3359285091940873, 48.88133206030769], [2.335938771964106, 48.88133940272624]]], ""type"": ""Polygon""}","48.881319940457466, 2.336138633496539",hendécagone
30,EC293882,75008,2022-08-30,2023-05-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,1.91,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,684854,194327,"{""coordinates"": [[[2.3176814041716427, 48.87853874052113], [2.3176771666933047, 48.87854600189542], [2.3177033105628975, 48.878552981363676], [2.317707565933583, 48.878544353998166], [2.3176814041716427, 48.87853874052113]]], ""type"": ""Polygon""}","48.878545615604715, 2.317692686358806",pentagone
31,EC294781,75005,2022-08-22,2023-05-15,Ville de Paris (Tvx sur espace ou édifice public),Ville de Paris (autres),63.7,Travaux sur édifice public (VdP*),EMPRISE_TROTTOIR,"DEUX_ROUES,STATIONNEMENT_PAYANT",689647,194976,"{""coordinates"": [[[2.3442081840067854, 48.84573519455159], [2.3444026391451183, 48.8456342575189], [2.344384895912175, 48.84561867778963], [2.344353183653676, 48.84561668189378], [2.344195511710473, 48.84570051678699], [2.3441959719668826, 48.84571873406274], [2.3442081840067854, 48.84573519455159]]], ""type"": ""Polygon""}","48.845670913372444, 2.344292517988492",heptagone
32,EC294894,75009,2022-08-29,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,16.98,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,686614,194695,"{""coordinates"": [[[2.3355718872446913, 48.88201333591917], [2.3354356096614244, 48.88200688766648], [2.3354345431905217, 48.88202281970973], [2.335567382952278, 48.88202811032989], [2.3355718872446913, 48.88201333591917]]], ""type"": ""Polygon""}","48.882017722143345, 2.3355016318285897",pentagone
33,EC295084,75018,2022-08-22,2023-04-14,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,3.83,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,690697,195188,"{""coordinates"": [[[2.3622223564733424, 48.890939555816274], [2.362243074466138, 48.8909394386331], [2.3622433505291767, 48.89091690038949], [2.362222635332175, 48.89091679005898], [2.3622223564733424, 48.890939555816274]]], ""type"": ""Polygon""}","48.89092817122814, 2.362232836860637",pentagone
34,EC295120,75016,2022-10-10,2023-12-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,262.64,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR","AUTRE,STATIONNEMENT_PAYANT",690715,195194,"{""coordinates"": [[[2.2764814406620886, 48.866587938074574], [2.2764319201743746, 48.86660016126111], [2.2765294889558563, 48.8667687812273], [2.276563240126581, 48.86676135784948], [2.276628090534113, 48.86677609355804], [2.2766504162123713, 48.86680855923725], [2.2769462952497044, 48.86670083139515], [2.2769136357135586, 48.86666693722327], [2.276902136074871, 48.86665001931562], [2.276633072818984, 48.86674037719024], [2.276570374414593, 48.86673225752212], [2.2764814406620886, 48.866587938074574]]], ""type"": ""Polygon""}","48.866714167960666, 2.276682409248537",dodécagone
35,EC295169,75016,2023-02-20,2023-06-02,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,48.27,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,691201,195256,"{""coordinates"": [[[2.2870817053792223, 48.859003765655046], [2.286974337069847, 48.85893208765428], [2.286933192070675, 48.85896326327704], [2.28704269430338, 48.85903039968955], [2.2870817053792223, 48.859003765655046]]], ""type"": ""Polygon""}","48.858981703795756, 2.287007071704787",pentagone
36,EC295219,,2022-09-05,2023-03-31,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,13.28,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,691275,195284,"{""coordinates"": [[[2.254355155357747, 48.83999716139353], [2.254347598278091, 48.84004310739408], [2.254386222372016, 48.840043804131945], [2.2543868867946495, 48.839997359183805], [2.254355155357747, 48.83999716139353]]], ""type"": ""Polygon""}","48.84002111664513, 2.254368924295202",pentagone
37,EC295273,75016,2022-08-16,2023-05-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,16.81,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,691380,195325,"{""coordinates"": [[[2.2982022618309608, 48.86798823038221], [2.2982885933135417, 48.868061367832944], [2.2983005448938503, 48.86804527213755], [2.298229225549275, 48.86798497366033], [2.2982022618309608, 48.86798823038221]]], ""type"": ""Polygon""}","48.86802014379464, 2.298254878893491",pentagone
38,EC295418,75015,2022-08-22,2023-04-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,14.27,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,671012,192414,"{""coordinates"": [[[2.2983353095443495, 48.841033671833515], [2.298357324709047, 48.841038171896614], [2.2984051450450402, 48.84097069301278], [2.298384824484024, 48.840963288042204], [2.2983353095443495, 48.841033671833515]]], ""type"": ""Polygon""}","48.8410013552105, 2.298370635711888",pentagone
39,EC295511,75013,2022-08-29,2023-04-21,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,802.79,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,692150,195451,"{""coordinates"": [[[2.3638010598725256, 48.81831394863384], [2.3642948845382072, 48.81853333757453], [2.364451094882559, 48.818390267061524], [2.364020452511007, 48.81819216319351], [2.363918591351451, 48.81828907288299], [2.363856855874652, 48.81826233233056], [2.3638010598725256, 48.81831394863384]]], ""type"": ""Polygon""}","48.818360742717, 2.364142149187537",heptagone
40,EC295602,75005,2023-03-20,2023-05-26,Opérateurs de réseau (gaz-électricité-RATP-etc),CPCU,33.88,Travaux sur réseau de chauffage urbain,EMPRISE_TROTTOIR,,692728,195538,"{""coordinates"": [[[2.345207736425668, 48.844544740497], [2.34524129608039, 48.84455061623539], [2.3452545536592027, 48.84452507407749], [2.3452067008005684, 48.84442121560475], [2.3451712718911346, 48.844426713743836], [2.345224413956031, 48.84452149424429], [2.345207736425668, 48.844544740497]]], ""type"": ""Polygon""}","48.84448434945854, 2.3452170584372407",heptagone
41,EC296397,75017,2022-08-29,2023-05-26,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,9.62,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,696928,196028,"{""coordinates"": [[[2.2893886284732448, 48.879862851409186], [2.2894529024787835, 48.879847932462], [2.2894442946500897, 48.879831123999686], [2.2893805629163757, 48.87984677462533], [2.2893886284732448, 48.879862851409186]]], ""type"": ""Polygon""}","48.87984711438886, 2.289416847962692",pentagone
42,EC303515,75011,2023-02-20,2023-03-31,Opérateurs de réseau (gaz-électricité-RATP-etc),EAU DE PARIS,40.77,Travaux sur réseau d'eau,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR","STATIONNEMENT_PAYANT,ZONE_LIVRAISON",729081,200640,"{""coordinates"": [[[2.3891290360492006, 48.851984996900974], [2.389168964427925, 48.85199294146493], [2.3892406405629325, 48.85188265383746], [2.3892042053804388, 48.85187108295562], [2.3891290360492006, 48.851984996900974]]], ""type"": ""Polygon""}","48.851933125038165, 2.389185448252242",pentagone
43,EC303607,75017,2022-10-24,2023-05-02,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,8.35,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,729290,200707,"{""coordinates"": [[[2.313427424463583, 48.887114764023835], [2.3133669172651614, 48.88709529190075], [2.3133577497016384, 48.8871098111731], [2.313418958923088, 48.88712837630466], [2.313427424463583, 48.887114764023835]]], ""type"": ""Polygon""}","48.88711195687282, 2.3133924216385364",pentagone
44,EC303919,75010,2022-11-21,2024-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,269.75,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,705263,196868,"{""coordinates"": [[[2.354096741822094, 48.88156896601416], [2.354143596041593, 48.88154872753526], [2.3534746909128343, 48.881136435111834], [2.353431217115604, 48.88116238345875], [2.353447522504451, 48.881169870313734], [2.354096741822094, 48.88156896601416]]], ""type"": ""Polygon""}","48.881352943675886, 2.3537857103248143",hexagone
45,EC304679,75015,2022-11-21,2023-05-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,512.39,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR","GIG_GIC,STATIONNEMENT_PAYANT",731695,200893,"{""coordinates"": [[[2.31511062551256, 48.838801920202314], [2.315897756604005, 48.83885952135932], [2.3158953913514106, 48.83878737573985], [2.315188855572409, 48.83871265871832], [2.31511062551256, 48.838801920202314]]], ""type"": ""Polygon""}","48.83878940543628, 2.3155049050618977",pentagone
46,EC304710,75015,2022-10-24,2023-12-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,37.71,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,734028,201398,"{""coordinates"": [[[2.27965009774227, 48.84232995371161], [2.279614049427875, 48.84234248700267], [2.2797071933333495, 48.8424418643312], [2.2797411658316786, 48.8424297735958], [2.27965009774227, 48.84232995371161]]], ""type"": ""Polygon""}","48.84238557733537, 2.2796777091141136",pentagone
47,EC305057,75006,2022-11-02,2023-04-28,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,18.02,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,735383,201582,"{""coordinates"": [[[2.3287011302118668, 48.85098010827516], [2.328682214652027, 48.85099037444102], [2.3287783753043283, 48.851054412203126], [2.3287972954861544, 48.85104389332898], [2.3287011302118668, 48.85098010827516]]], ""type"": ""Polygon""}","48.851017258235856, 2.3287398397865857",pentagone
