,Référence Chantier,Code postal arrondissement - Commune,Date début du chantier,Date fin du chantier,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,forme_geo
6267,EC324024,75006,2023-03-17,2023-04-17,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,5.25,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,812428,213662,"{""coordinates"": [[[2.33451727300326, 48.852873463162915], [2.334522220213277, 48.85286438380069], [2.3344557895334193, 48.85285194675455], [2.3344515390338763, 48.8528605749155], [2.33451727300326, 48.852873463162915]]], ""type"": ""Polygon""}","48.8528626508424, 2.33448703863841",pentagone
6268,EC324059,75011,2023-03-03,2023-09-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,133.15,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",STATIONNEMENT_PAYANT,812456,213686,"{""coordinates"": [[[2.3904481271191087, 48.85432080989526], [2.3905919949834735, 48.8543511411888], [2.3906029377536506, 48.854330022634564], [2.3907058528958673, 48.85435126593863], [2.390684557103913, 48.85431358987029], [2.390502123478336, 48.85427668676035], [2.390469975785584, 48.854275907849335], [2.390272543737941, 48.854235193884136], [2.3902592730141583, 48.85426062731888], [2.390456299656068, 48.854300587383236], [2.3904481271191087, 48.85432080989526]]], ""type"": ""Polygon""}","48.854298976127694, 2.3904969828605753",hendécagone
6269,EC324066,75003,2023-02-27,2023-04-28,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,3.15,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,812473,213701,"{""coordinates"": [[[2.3524424150374514, 48.86332507898005], [2.3524565825485912, 48.863351339187346], [2.3524697315495353, 48.86334845058547], [2.352455564032552, 48.863322190379655], [2.3524424150374514, 48.86332507898005]]], ""type"": ""Polygon""}","48.86333676478412, 2.3524560732925583",pentagone
6270,EC324067,75003,2023-02-27,2023-04-28,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,3.43,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,812473,213701,"{""coordinates"": [[[2.3517325567639453, 48.86330501355141], [2.3517789203198887, 48.86329524687041], [2.3517741960886087, 48.86328656867633], [2.3517278155301424, 48.86329770226903], [2.3517325567639453, 48.86330501355141]]], ""type"": ""Polygon""}","48.86329599136865, 2.351753947284894",pentagone
6271,EC324130,75017,2023-03-20,2023-04-14,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,22.54,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,812463,213696,"{""coordinates"": [[[2.2899659155485708, 48.876246816100384], [2.2901413595471523, 48.87631593312788], [2.2901529040822894, 48.876304617723854], [2.289976770254421, 48.87623549662089], [2.2899659155485708, 48.876246816100384]]], ""type"": ""Polygon""}","48.87627581109649, 2.290059488953931",pentagone
6272,EC324404,75008,2023-03-14,2023-04-30,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,8.31,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,812758,213925,"{""coordinates"": [[[2.3151208140171127, 48.87369240190237], [2.31504125262926, 48.87367942424288], [2.3150369373385797, 48.873692604571815], [2.3151172168660947, 48.87370353764433], [2.3151208140171127, 48.87369240190237]]], ""type"": ""Polygon""}","48.87369182456942, 2.315077930874376",pentagone
6273,EC324449,75009,2023-03-13,2023-06-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,10.24,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,811540,212933,"{""coordinates"": [[[2.3449788626397465, 48.879932744695424], [2.3449694147788542, 48.87991538893835], [2.344905023703179, 48.879930063561524], [2.3449144701819047, 48.87994741931596], [2.3449788626397465, 48.879932744695424]]], ""type"": ""Polygon""}","48.87993140413549, 2.3449419429283043",pentagone
6274,EC324462,75017,2023-03-30,2023-06-12,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,1.21,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,812786,213951,"{""coordinates"": [[[2.311021216648893, 48.88511831929312], [2.3110170921666597, 48.8851169294738], [2.311012539943566, 48.88514786817519], [2.311018062444989, 48.88514789995433], [2.311021216648893, 48.88511831929312]]], ""type"": ""Polygon""}","48.88513337987794, 2.3110171273551017",pentagone
6275,EC324466,75009,2023-03-20,2023-06-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,4.91,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,812741,213913,"{""coordinates"": [[[2.3473544081549456, 48.87783513488601], [2.3473326052342833, 48.877812020039926], [2.3473128629856825, 48.87781737676037], [2.3473329312887863, 48.87784116474777], [2.3473544081549456, 48.87783513488601]]], ""type"": ""Polygon""}","48.87782660491102, 2.347333349117664",pentagone
6276,EC324477,75012,2023-03-20,2023-04-07,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,18.23,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,812790,213954,"{""coordinates"": [[[2.3870703348200015, 48.841006760779074], [2.387057059491764, 48.8410210375599], [2.387174510711432, 48.84106512698889], [2.38718846470085, 48.841051764724554], [2.3870703348200015, 48.841006760779074]]], ""type"": ""Polygon""}","48.84103603251509, 2.3871222630841884",pentagone
6277,EC324565,75012,2023-03-06,2023-03-24,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,30.34,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,812872,214011,"{""coordinates"": [[[2.394558031700133, 48.839296264860494], [2.394552994451985, 48.839314226591185], [2.3947570191623324, 48.839329147902596], [2.394760677599624, 48.8393111791876], [2.394558031700133, 48.839296264860494]]], ""type"": ""Polygon""}","48.83931270821953, 2.3946570910381486",pentagone
6278,EC324612,75018,2023-03-14,2023-07-07,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,4.97,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,812876,214019,"{""coordinates"": [[[2.339950811165979, 48.88591424118943], [2.33991336586057, 48.88592678543732], [2.3399228766316993, 48.88593913168988], [2.3399609946022317, 48.885927958126516], [2.339950811165979, 48.88591424118943]]], ""type"": ""Polygon""}","48.88592692371605, 2.3399373145976883",pentagone
6279,EC324683,75018,2023-03-15,2023-03-29,Tiers (travaux sur bâtiment),PERSONNE PHYSIQUE,8.85,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,801249,210411,"{""coordinates"": [[[2.345447494638331, 48.885794833201146], [2.3453673462028477, 48.88579894831569], [2.3453692457912387, 48.88581261949448], [2.3454493999785866, 48.88580804845071], [2.345447494638331, 48.885794833201146]]], ""type"": ""Polygon""}","48.885803625513205, 2.3454081471393056",pentagone
6280,EC324707,75013,2023-03-06,2023-04-28,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,49.07,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,811926,213231,"{""coordinates"": [[[2.367756848097646, 48.82652388384122], [2.3674934138030803, 48.826383423324465], [2.3674881843884954, 48.82640589171015], [2.3677220997403965, 48.82652860891271], [2.367756848097646, 48.82652388384122]]], ""type"": ""Polygon""}","48.82645934639451, 2.3676135260322004",pentagone
6281,EC324892,75014,2023-03-20,2023-06-09,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,203.14,Travaux sur réseau électrique,EMPRISE_TROTTOIR,,813137,214215,"{""coordinates"": [[[2.311637599239229, 48.825059323919426], [2.3116505886687913, 48.825070544711075], [2.3119568643306345, 48.824978544164416], [2.3135267839453886, 48.82475362504902], [2.3135048786712167, 48.82474120476856], [2.311947869779996, 48.824968985961256], [2.311637599239229, 48.825059323919426]]], ""type"": ""Polygon""}","48.82488208135862, 2.3126137805381757",heptagone
6282,EC324963,75007,2023-03-13,2023-06-16,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,10.13,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,813176,214247,"{""coordinates"": [[[2.317087333581078, 48.84816154666974], [2.317023705163106, 48.84814661200859], [2.3170141649342764, 48.848163861260296], [2.3170791723243203, 48.848178804696836], [2.317087333581078, 48.84816154666974]]], ""type"": ""Polygon""}","48.848162713709094, 2.317050993355177",pentagone
6283,EC325010,75009,2023-03-15,2023-06-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,24.68,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,812415,213656,"{""coordinates"": [[[2.3459456111244865, 48.87670179987155], [2.3458976068484914, 48.87678623429196], [2.345926461616357, 48.87679731977594], [2.345975858372485, 48.87671198282526], [2.3459456111244865, 48.87670179987155]]], ""type"": ""Polygon""}","48.8767491727895, 2.3459365178097116",pentagone
6284,EC325027,75008,2023-03-20,2024-02-16,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,39.7,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,812865,214010,"{""coordinates"": [[[2.307151576470798, 48.86751769170195], [2.307366133678325, 48.86762958734544], [2.3073849444866035, 48.86761649019722], [2.3071683227681286, 48.86750412756589], [2.307151576470798, 48.86751769170195]]], ""type"": ""Polygon""}","48.86756721715253, 2.307268238091873",pentagone
6285,EC325109,75008,2023-03-27,2024-03-31,Opérateurs de réseau (gaz-électricité-RATP-etc),RATP,760.01,Travaux sur réseau de transport public,EMPRISE_CHAUSSEE,,813303,214344,"{""coordinates"": [[[2.323248089911765, 48.868487729848944], [2.3234127097246486, 48.86872727092683], [2.3235116905266717, 48.8687592507872], [2.323774214917097, 48.869100548662345], [2.3238649955946866, 48.86907305684979], [2.3234733414656232, 48.868549794427565], [2.3233971979063983, 48.86846011219308], [2.3233129593333266, 48.868435729596065], [2.323268620993351, 48.86844822891829], [2.323248089911765, 48.868487729848944]]], ""type"": ""Polygon""}","48.86873346986007, 2.3235329568394283",décagone
6286,EC325180,75017,2023-03-09,2023-04-28,Ville de Paris (Tvx sur espace ou édifice public),Direction des Espaces Verts et de l'Environnement,56.0,Végétalisation de l'espace public (VdP*),EMPRISE_TROTTOIR,,813349,214386,"{""coordinates"": [[[2.289297747549805, 48.886345349149714], [2.2891109086643042, 48.88647629355072], [2.2891410399460836, 48.88649468663629], [2.2893181749110214, 48.88636641676663], [2.289297747549805, 48.886345349149714]]], ""type"": ""Polygon""}","48.886421837085024, 2.289215185643157",pentagone
